Time,True_theta,True_theta_dot,Meas_theta,Meas_theta_dot,Est_theta,Est_theta_dot
0.72,0.102779,0.0038049,0.423936,-0.18244,0.115019,-0.0577727
0.73,0.102816,0.00369695,-0.322695,0.387184,0.115838,-0.0635
0.74,0.102853,0.00358605,0.294266,-0.236192,0.11247,-0.0503349
0.75,0.102888,0.00347234,-1.00159,0.493855,0.113055,-0.0584758
0.76,0.102922,0.00335595,-0.271656,0.218904,0.107329,-0.0429719
0.77,0.102955,0.003237,0.405802,0.417561,0.105,-0.0342802
0.78,0.102987,0.00311563,-0.176797,0.840442,0.104529,-0.0231731
0.79,0.103018,0.00299197,-0.130634,0.180256,0.10131,-0.00168106
0.8,0.103047,0.00286616,0.131143,0.0086951,0.100078,-0.00197133
0.81,0.103075,0.00273833,0.327396,0.171682,0.100136,-0.00160594
0.82,0.103102,0.00260862,0.534578,-0.0631074,0.100443,-0.000810767
0.83,0.103127,0.00247717,-0.37308,0.0832542,0.101983,-3.53272e-05
0.84,0.103151,0.00234412,0.514886,0.0509615,0.100282,0.00193808
0.85,0.103174,0.0022096,0.00178049,0.0495086,0.101496,-0.000749441
0.86,0.103195,0.00207377,-0.724062,0.294126,0.101067,0.000434151
0.87,0.103215,0.00193676,0.625843,0.495074,0.0978833,0.0125681
0.88,0.103234,0.0017987,-1.1845,-0.438877,0.0987202,0.0241985
0.89,0.103251,0.00165976,-0.255941,-0.487565,0.0958393,0.0177043
0.9,0.103267,0.00152005,-0.103581,-0.00065204,0.0958836,0.00412833
0.91,0.103282,0.00137973,-0.394242,-0.170048,0.0953451,0.0099798
0.92,0.103295,0.00123894,0.290283,0.389076,0.0942475,0.00588801
0.93,0.103306,0.00109782,-0.740375,0.429714,0.0941976,0.016868
0.94,0.103317,0.000956504,0.344637,1.01763,0.0909348,0.0264137
0.95,0.103326,0.000815136,-0.566733,0.0665442,0.0900826,0.049068
0.96,0.103333,0.000673853,0.0403213,-0.00444381,0.0885133,0.0555465
0.97,0.103339,0.000532794,0.493382,0.18539,0.0890543,0.0573987
0.98,0.103344,0.000392095,0.483529,0.581924,0.0906626,0.0622642
0.99,0.103347,0.000251891,0.279701,-0.60059,0.0914901,0.0717736
1,0.103349,0.000112316,0.765157,-0.00198779,0.0941166,0.0578718
1.01,0.103349,-2.64977e-05,0.280792,-0.702515,0.0969094,0.0562127
1.02,0.103348,-0.000164418,0.249687,-0.797659,0.0995511,0.0407874
1.03,0.103346,-0.000301317,0.329893,-0.109034,0.102163,0.032593
1.04,0.103342,-0.000437066,1.05094,-0.0575037,0.103458,0.0262282
1.05,0.103337,-0.00057154,0.794969,0.152193,0.106845,0.0255564
1.06,0.103331,-0.000704615,0.0535988,-0.425342,0.108976,0.0274001
1.07,0.103323,-0.00083617,-0.678885,-0.267777,0.110012,0.0192196
1.08,0.103314,-0.000966086,-0.409962,-0.60086,0.108395,0.0193997
1.09,0.103304,-0.00109425,0.724753,-0.726338,0.108293,0.00961108
1.1,0.103292,-0.00122054,0.498109,-0.383696,0.111813,-0.00737673
1.11,0.103279,-0.00134484,-0.0976557,-0.460661,0.113721,-0.0148371
1.12,0.103265,-0.00146706,-0.702564,0.185754,0.113869,-0.0238264
1.13,0.10325,-0.00158708,0.312419,-0.327239,0.110696,-0.0178286
1.14,0.103234,-0.0017048,-0.224552,-0.695527,0.111815,-0.0218743
1.15,0.103216,-0.00182011,0.190578,-0.23012,0.112019,-0.0363343
1.16,0.103197,-0.00193293,-0.594705,-0.250559,0.112341,-0.0368977
1.17,0.103177,-0.00204315,0.99776,-0.0591679,0.1103,-0.0405849
1.18,0.103156,-0.00215068,0.170164,-0.538866,0.112612,-0.0420348
1.19,0.103134,-0.00225544,0.16615,0.535018,0.11348,-0.0495668
1.2,0.103111,-0.00235734,0.535295,0.156144,0.111838,-0.0392679
1.21,0.103087,-0.0024563,-0.125414,-0.843358,0.112261,-0.0378925
1.22,0.103062,-0.00255224,-0.064429,0.538754,0.112978,-0.0534313
1.23,0.103036,-0.00264508,-0.474413,-0.0702799,0.110568,-0.0444251
1.24,0.103009,-0.00273476,-0.481908,-0.345081,0.10849,-0.0392266
1.25,0.102981,-0.0028212,-0.787242,0.186043,0.107037,-0.0461643
1.26,0.102953,-0.00290435,0.89957,-0.386412,0.103408,-0.0425708
1.27,0.102923,-0.00298413,-0.200026,0.372678,0.106078,-0.0524844
